Line #,st,en Version,ka Translation
232,ka.activerecord.errors.messages.publish_theme,The theme cannot be published until at least one published item has been assigned to the theme.,"თემის გამოქვეყნება შეუძლებელია, თუ ამ თემას ერთი ამბავი მაინც არ აქვს მისადაგებული."
233,ka.activerecord.errors.messages.not_provided,must be provided.,must be provided.
234,ka.mailer.closing,"Sincerely,","პატივისცემით,"
235,ka.mailer.signature,The Chai Khana Team,“ჩაი ხანას” გუნდი
236,ka.mailer.unsubscribe,Click here to change your notification settings,დააჭირეთ და შეცვალეთ შეტყობინებების პარამეტრები
237,ka.mailer.contact.contact_form.subject,Chai Khana Contact Form,“ჩაი ხანას” საკონტაქტო ფორმა
238,ka.mailer.notification.new_user.subject,Welcome to Chai Khana!,კეთილი იყოს თქვენი მობრძანება “სთორიბილდერზე!”
239,ka.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link].","გმადლობთ, რომ გახდით “ჩაი ხანას” წევრი. ჩვენ გვსურს, გავიგოთ უფრო მეტი თქვენი ამბების შესახებ!

როცა დრო გექნებათ, გთხოვთ, ეწვიოთ პარამეტრების გვერდს, რათა შეიყვანოთ ინფორმაცია თქვენ შესახებ, შეცვალოთ პროფილის სურათი, სახელი და პირადი ბმულიი: [settings_link].

თქვენ შეიგიძლიათ განსაზღვროთ, როდის გსურთ “Chai Khanaდან” შეტყობინებების მიღება, ამისათვის ეწვიეთ შეტყობინებების გვერდს: [notifications_link]."
240,ka.mailer.notification.published_theme.subject,New themes have been published on Chai Khana!,"""ჩაი ხანას"" ვებგვერდზე დაემატა ახალი თემა!"
241,ka.mailer.notification.published_theme.message,The following themes you have expressed interest in were recently published:,"თემები, რომლითაც თქვენ დაინტერესდით, უკვე გამოქვეყნებულია:"
242,ka.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,“ჩაი ხანაზე” გამოქვეყნდა ახალი ამბავი!
243,ka.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,"ამბები, რომლითაც თქვენ დაინტერესდით, უკვე გამოქვეყნებულია:"
244,ka.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,ვიღაცამ დატოვა კომენტარი “სთორიბილდერზე” თქვენ მიერ გამოქვეყნებულ ამბავზე!
245,ka.mailer.notification.story_comment.message,The following stories have recently received a comment:,ამ ამბებზე ცოტა ხნის წინ დატოვეს კომენტარები:
246,ka.mailer.notification.story_comment.comment,1 Comment,1 კომენტარი
247,ka.mailer.notification.story_comment.comments,%{num} Comments,%{num} კომენტარი
248,ka.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,"თქვენ მოწვეული ხართ, რათა მონაწილეობა მიიღოთ “სთორიბილდერზე” ამბის შექმნაში!"
249,ka.mailer.notification.story_collaboration.message,"You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part.","თქვენ მოწვეული ხართ, რათა მონაწილეობა მიიღოთ ამბის შექმნაში სხვა ადამიანებთან ერთად “სთორიბილდერზე”. თუ გსურთ, მიიღოთ მოწვევა, უბრალოდ დააჭირეთ ბმულს 'მოწვევის მიღება'. თუ არ გსურთ მონაწილეობა, უპასუხოდ დატოვეთ მოწვევა."
250,ka.mailer.notification.story_collaboration.from,From,ვისგან
251,ka.mailer.notification.story_collaboration.role,Role,როლი
252,ka.mailer.notification.story_collaboration.story_title,Story Title,ამბის სათაური
253,ka.mailer.notification.story_collaboration.msg,Message,გზავნილი
254,ka.mailer.notification.story_collaboration.accept_link,Accept the Invitation,მოწვევის მიღება
255,ka.mailer.notification.story_collaboration.all_invitations,View all of your Chai Khana collaboration invitations.,იხილეთ ყველა მოწვევა “სთორბილიდერზე” ამბების თანაავტორობის შესახებ.
256,ka.mailer.notification.processed_videos.subject,Your videos on Chai Khana have been processed!,თქვენი ვიდეოები დამუშავებულია.
257,ka.mailer.notification.processed_videos.message,The following stories of yours have videos that have completed processing:,"ეს ამბები შეიცავს ვიდეო ფაილებს, რომელთა დამუშავებაც დასრულებულია."
258,ka.mailer.notification.processed_videos.story_title,Story:,ამბის სათაური:
259,ka.mailer.notification.processed_videos.status,Video Processing Status: %{processed} of %{total} completed,ვიდეოს დამუშავების სტატუსი: %{total}-დან %{processed} დამუშავებულია
260,ka.mailer.notification.processed_videos.processed,Videos Processed:,ვიდეო დამუშავებულია:
261,ka.mailer.notification.processed_videos.not_processed,Videos Still Processing:,ვიდეო დამუშავების პროცესშია:
262,ka.mailer.notification.processed_videos.none_processed,No vidoes have been processed.,არცერთი ვიდეო არ არის დამუშავებული
263,ka.mailer.notification.processed_videos.none_processing,All videos have been processed!,ყველა ვიდეო დამუშავებულია
264,ka.mailer.notification.processed_video_errors.subject,Videos on Chai Khana have processing errors!,“სთორიბილდერზე” ვიდეოების დამუშავებისას დაფიქსირდა ხარვეზი!
265,ka.mailer.notification.processed_video_errors.message,The following videos had errors while being processed:,შემდეგი ვიდეოებისას დამუშავებისას დაფიქსირდა ხარვეზი:
266,ka.mailer.notification.processed_video_errors.story_id,Story ID,ამბის ID
267,ka.mailer.notification.processed_video_errors.asset_id,Asset ID,ფაილის ID
268,ka.mailer.notification.processed_video_errors.path,URL of Video,ვიდეოს ბმული
269,ka.helpers.actions,Actions,მოქმედება
270,ka.helpers.links.admin,Admin Section,ადმინისტრატორის განყოფილება
271,ka.helpers.links.edit,Edit,შეცვლა
272,ka.helpers.links.confirm,Are you sure?,დარწმუნებული ხართ?
273,ka.helpers.links.destroy,Delete,წაშლა
274,ka.helpers.links.new,New,ახალი
275,ka.helpers.links.list,View All,ყველას ნახვა
276,ka.helpers.links.back,View All,ყველას ნახვა
277,ka.helpers.links.cancel,Cancel,გაუქმება
278,ka.helpers.links.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება
279,ka.helpers.links.view,View,ნახვა
280,ka.helpers.links.sign_in_facebook,Sign in with Facebook,Facebook-ით შესვლა
281,ka.helpers.links.edit_story,Edit Story Settings,ამბის პარამეტრების რედაქტირება
282,ka.helpers.links.delete_story,Delete Story,ამბის წაშლა
283,ka.helpers.links.admin_story,Edit Content,კონტენტის რედაქტირება
284,ka.helpers.links.publish_story,Publish Story,ამბის გამოქვეყნება
285,ka.helpers.links.forgot_password,Forgot Password?,დაგავიწყდათ პაროლი?
286,ka.helpers.links.change_password,Change Your Password,პაროლის შეცვლა
287,ka.helpers.links.change_password2,Change Password,პაროლის შეცვლა
288,ka.helpers.links.password_reset,Reset Password,პაროლის აღდგენა
289,ka.helpers.links.sign_in2,Sign In,შესვლა
290,ka.helpers.links.sign_in,Already have an account?,უკვე გაქვთ ანგარიში?
291,ka.helpers.links.sign_up2,Sign Up,რეგისტრაცია
292,ka.helpers.links.sign_up_question,Not a member yet?,არ გაქვთ ანგარიში?
293,ka.helpers.links.sign_up,Register now,დარეგისტრირდით
294,ka.helpers.links.sign_up_title,Join Chai Khana,შემოგვიერთდი “სთორიბილდერზე”
295,ka.helpers.links.sign_out,Sign Out,გასვლა
296,ka.helpers.links.sign_in_provider,Sign in with %{provider},შესვლა %{provider}-ით
297,ka.helpers.links.sign_up_provider,Sign up with %{provider},დარეგისტრირდით %{provider}-ით
298,ka.helpers.links.sign_in_local_or_provider,or log in with your email and password,ან შეიყვანეთ თქვენი ელ. ფოსტა და პაროლი
299,ka.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,შედით facebook-ით ან შეცვალეთ პაროლი
300,ka.helpers.links.add_story,Add Story,ამბის დამატება
301,ka.helpers.links.users,Users,მომხმარებლები
302,ka.helpers.links.authors,Authors,ავტორი
303,ka.helpers.links.feedback,Feedback,მოგვწერე
304,ka.helpers.links.about,About,ჩვენ შესახებ
305,ka.helpers.links.rss,RSS,RSS-ი
306,ka.helpers.links.themes,Themes,თემა
307,ka.helpers.links.story_types,Types,ტიპი
308,ka.helpers.links.languages,Languages,ენები
309,ka.helpers.links.follow,Follow,მიყოლა
310,ka.helpers.links.facebook,Facebook,Facebook
311,ka.helpers.links.twitter,Twitter,Twitter
312,ka.helpers.links.youtube,YouTube,YouTube
313,ka.helpers.links.subscribe,Subscribe,გამოწერა
314,ka.helpers.links.user_settings,Settings,პარამეტრები
315,ka.helpers.links.like,Like,მოწონება
316,ka.helpers.links.likes,Likes,მოწონება
317,ka.helpers.links.comments,Comment on this story,კომენტარები ამ ამბავზე
318,ka.helpers.links.views,%{num} views,%{num} წაკითხვა
319,ka.helpers.links.tags,Tags,თეგი
320,ka.helpers.links.menu,Menu,მენიუ
321,ka.helpers.links.pages,Edit Text on Site,საიტზე ტექსტის რედაქტირება
322,ka.helpers.links.next,Next,შემდეგი
323,ka.helpers.links.feed,Feed,სიახლეების ველი
324,ka.helpers.links.download,Download,Download
325,ka.helpers.links.previous,Previous,Previous
326,ka.helpers.links.story_menu.link.story,Story,ამბავი
327,ka.helpers.links.story_menu.link.story_settings,Story Settings,ამბის პარამეტრები
328,ka.helpers.links.story_menu.link.collaborators,Collaborators,თანაავტორები
329,ka.helpers.links.story_menu.link.preview,Preview,ნახვა
330,ka.helpers.links.story_menu.link.publish,Publish,გამოქვეყნება
331,ka.helpers.links.story_menu.link.unpublish,Unpublish,გამოყვეყნების გაუქმება
332,ka.helpers.links.story_menu.link.review,Private URL,არასაჯარო ბმული
333,ka.helpers.links.story_menu.link.clone,Clone,კლონირება
334,ka.helpers.links.story_menu.link.export,Download,ჩამოტვირთვა
335,ka.helpers.links.story_menu.link.delete_story,Delete,წაშლა
336,ka.helpers.links.story_menu.link.translations,Translations,თარგმანები
337,ka.helpers.links.story_menu.title.story,Edit your story,საკუთარი ამბის რედაქტირება
338,ka.helpers.links.story_menu.title.story_settings,"Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc.","ამბის სათაურის, ავტორების, ბმულის, მოკლე შინაარსის, ესკიზის, ენის, თეგების და/ან კატეგორიების რედაქტირება"
339,ka.helpers.links.story_menu.title.collaborators,Manage which users have access to edit your story,"განსაზღვრეთ, რომელ მომხმარებელს შეუძლია თქვენი ამბის რედაქტირება"
340,ka.helpers.links.story_menu.title.preview,See how your story looks,"ნახეთ, როგორ გამოიყურება თქვენი ამბავი"
341,ka.helpers.links.story_menu.title.publish,Make your story viewable to the world,აჩვენეთ თქვენი ამბავი მსოფლიოს
342,ka.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,აღარ აჩვენოთ თქვენი ამბავი მსოფლიოს
343,ka.helpers.links.story_menu.title.review,URL to share this story before publishing,გაუზიარეთ ეს ამბავი სხვებს ამბის გამოქვეყნებამდე
344,ka.helpers.links.story_menu.title.clone,Copy this story into a new story,შექმენით ამ ამბის ასლი
345,ka.helpers.links.story_menu.title.export,Download the complete story,მთლიანი ამბის ჩამოტვირთვა
346,ka.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,წაშალეთ ამბავი. ამბის აღდგენა არ იქნება შესაძლებელი
347,ka.helpers.links.story_menu.title.translations,Translate your story into other languages,ამბის სხვა ენაზე თარგმნა
348,ka.helpers.titles.new,New %{model},ახალი %{model}
349,ka.helpers.titles.edit,Edit %{model},შეცვლა %{model}
350,ka.helpers.titles.story_list,My Stories,ჩემი ამბები
351,ka.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","თქვენი სახელი გამოყენებულია თქვენ მიერ გამოქვეყნებული ამბების ბმულში (მაგ., სახელი/ამბის-სათაური)"
352,ka.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,"ფოტო, რომელიც გამოჩნდება თქვენი გვერდის ზედა სექციაში (მხოლოდ png და jpg)."
353,ka.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,ფოტო რომელიც გამოჩნდება ავტორის გვერდზე (მხოლოდ png და jpg)
354,ka.helpers.hints.like,Like this story,მოიწონეთ ამბავი
355,ka.helpers.hints.unlike,Unlike this story,აღარ მომწონს ეს ამბავი
356,ka.helpers.hints.staff_pick,Select as Staff Pick,რჩეულებში დამატება
357,ka.helpers.hints.staff_unpick,Unselect as Staff Pick,რჩეულებიდან ამოშლა
358,ka.helpers.hints.is_staff_pick,Staff Pick,რჩეული
359,ka.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation",თუ მონიშნავთ მარცხნივ მდებარე ფაილი გამოყენებული ქნება სათარგმნად
360,ka.app.language.en,English,English
361,ka.app.language.ka,ქართული,ქართული
362,ka.app.language.hy,Հայերեն,Հայերեն
363,ka.app.language.ru,Русский,Русский
364,ka.app.language.az,Azərbaycan,Azərbaycan
365,ka.app.buttons.back,View All,იხილეთ ყველა
366,ka.app.buttons.list,View All,იხილეთ ყველა
367,ka.app.buttons.admin,Admin Section,ადმინისტრატორის განყოფილება
368,ka.app.buttons.delete,Delete,წაშლა
369,ka.app.buttons.edit,Edit,შეცვლა
370,ka.app.buttons.show,Show,ჩვენება
371,ka.app.buttons.cancel,Cancel,გაუქმება
372,ka.app.buttons.update,Update,განახლება
373,ka.app.buttons.save,Save,შენახვა
374,ka.app.buttons.save_and_next,Save & Next,შენახვა და შემდეგი
375,ka.app.buttons.create,Create,შექმნა
376,ka.app.buttons.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება
377,ka.app.buttons.remove,Remove,ამოშლა
378,ka.app.buttons.confirm,Are you sure?,დარწმუნებული ხართ?
379,ka.app.buttons.new,New,ახალი
380,ka.app.buttons.add_section,Add Section,ახალი სექცია
381,ka.app.buttons.add_item,Add Item into Section,განყოფილებაში პუნქტის დამატება
382,ka.app.buttons.up,Move Selected Section/Item Up,არჩეული განყოფილების/პუნქტის ზემოთ ატანა
383,ka.app.buttons.down,Move Selected Section/Item Down,არჩეული განყოფილების/პუნქტის ქვემოთ ჩამოტანა
384,ka.app.buttons.delete_item,Delete Selected Section/Item,არჩეული განყოფილების/პუნქტის წაშლა
385,ka.app.buttons.preview,Preview,ნახვა
386,ka.app.buttons.preview_image,Preview Image,სურათის ნახვა
387,ka.app.buttons.preview_video,Preview Video,ვიდეოს ნახვა
388,ka.app.buttons.preview_audio,Listen To Audio,აუდიოს მოსმენა
389,ka.app.buttons.publish,Publish,გამოქვეყნება
390,ka.app.buttons.unpublish,Unpublish,გამოყვეყნების გაუქმება
391,ka.app.buttons.clone,Copy this story into a new story,კლონირება
392,ka.app.buttons.export,Download the complete story,მთლიანი ამბის ჩამოტვირთვა
393,ka.app.buttons.scroll,Scroll,დასქროლე
394,ka.app.buttons.reviewer_key,Get URL to share this story before publishing,"მიიღეთ URL, რათა გააზიაროთ ამბავი მის გამოქვეყნებამდე"
395,ka.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,"თქვენი ამბავი გამოქვეყნებულია, აღარაა საჭირო ამ ბმულის გამოყენება"
396,ka.app.buttons.explore,Explore,დაათვალიერე
397,ka.app.buttons.processing,Processing...,Processing...
398,ka.app.common.app_name_not_trans,Chai Khana,"""ჩაი ხანა"""
399,ka.app.common.app_name,Chai Khana,“ჩაი ხანა”
400,ka.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,"""ჩაი ხანა"" არის არასამთავრობო ორგანიზაცია, რომელიც ინტერნეტ გამოცემითა და ტრენინგებით უზრუნველყოფს სამხრეთ კავკასიის რეგიონულში პრობლემური საკითხების გაშუქებას."
401,ka.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,"""ჩაი ხანა"" არის არასამთავრობო ორგანიზაცია, რომელიც ინტერნეტ გამოცემითა და ტრენინგებით უზრუნველყოფს სამხრეთ კავკასიის რეგიონულში პრობლემური საკითხების გაშუქებას."
402,ka.app.common.powered_by,Powered by,შექმნილია
403,ka.app.common.powered_by_js,Jumpstart Georgia,“ჯამპსტარტ ჯორჯიას”
404,ka.app.common.powered_by_end,,მიერ
405,ka.app.common.embed_slogan,Build your story with Chai Khana,შექმენი შენი ამბავი “ჩაი ხანას” გამოყენებით
406,ka.app.common.added_on,Added on: %{date},დამატებულია: %{date}
407,ka.app.common.last_sign_in,Logged in last: %{date},ბოლო შემოსვლა: %{date}
408,ka.app.common.admin,Admin,ადმინისტრატორი
409,ka.app.common.sign_out,Sign Out,გასვლა
410,ka.app.common.jumpstart,JumpStart Georgia,ჯამპსტარტ ჯორჯია
411,ka.app.common.js_link_title,JumpStart Georgia - We communicate data better!,ჯამპსტარტ ჯორჯია - ჩვენ გაწვდით მონაცემებს უკეთ!
412,ka.app.common.js_link_text,Built by,აგებულია
413,ka.app.common.search,Search for Story ...,ამბის მოძებნა
414,ka.app.common.build,Build Story,ამბის შექმნა
415,ka.app.common.explore,Explore Stories,ამბების დათვალიერება
416,ka.app.common.about_story,About,ჩვენ შესახებ
417,ka.app.common.likes,Likes,მოწონება
418,ka.app.common.comments,Comments,კომენტარები
419,ka.app.common.publish_date,Publish Date,გამოქვეყნების თარიღი
420,ka.app.common.follow,Follow,თვალყურის დევნება
421,ka.app.common.following,Following,თვალყურის დევნება
422,ka.app.common.follow_link_title,Click to receive notifications whenever this author publishes new stories,"დააჭირეთ, რათა მიიღოთ შეტყობინება, როდესაც ეს მომხმარებელი გამოაქვეყნებს ახალ ამბავს"
423,ka.app.common.unfollow_link_title,Click to stop receiving notifications whenever this author publishes new stories,"დააჭირეთ, რათა შეწყვიტოთ შეტყობინების მიღება, როდესაც ეს მომხმარებელი გამოაქვეყნებს ახალ ამბავს"
424,ka.app.common.email,Email,ელ. ფოსტა
425,ka.app.common.views,Views,ნახვა
426,ka.app.common.permalink,Permalink,მუდმივი ბმული
