Line #,Key,en Version,hy Translation
46,hy.activerecord.attributes.story_translation.published,Publish?,Հրապարկել?
47,hy.activerecord.attributes.story_translation.published_at,Was Published,Հրապարակված է
48,hy.activerecord.attributes.story_translation.about,Story Summary,Համառոտագրություն
49,hy.activerecord.attributes.story_translation.permalink,Story URL,Նյութի URL
50,hy.activerecord.attributes.story_translation.permalink_staging,Story URL,Նյութի URL
51,hy.activerecord.attributes.section.has_marker,Navigation Shortcut,Նավիգացիոն դյուրանցում
52,hy.activerecord.attributes.section.type_id,Type,Տեսակ
53,hy.activerecord.attributes.section.sort_order,Sort Order,Դասակարգման հերթականություն
54,hy.activerecord.attributes.section_translation.title,Title,Վերնագիր
55,hy.activerecord.attributes.section_translation.audio,Audio Track,Աուդիո 
56,hy.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Ջնջել աուդիո ֆայլը?
57,hy.activerecord.attributes.content.title,Title,Անվանում
58,hy.activerecord.attributes.content.caption,Heading,Վերնագիր
59,hy.activerecord.attributes.content.sub_caption,Subheading,Ենթավերնագիր
60,hy.activerecord.attributes.content.content,Text,Տեքստ
61,hy.activerecord.attributes.medium.media_type,Media Type,Մեդիայի տեսակը
62,hy.activerecord.attributes.medium.image,Image,Նկար
63,hy.activerecord.attributes.medium.video,Video,Վիդեո
64,hy.activerecord.attributes.medium.video_loop,Loop Video,Վերախաղարկել վիդեոն
65,hy.activerecord.attributes.medium_translation.title,Title,Վերնագիր
66,hy.activerecord.attributes.medium_translation.caption,Caption,Ենթագրեր
67,hy.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Ենթագրերի ուղղվածություն
68,hy.activerecord.attributes.medium_translation.infobox_type,Caption Position,Ենթագրերի դիրք
69,hy.activerecord.attributes.medium_translation.summary,Summary,Հակիրճ նկարագրություն
70,hy.activerecord.attributes.medium_translation.source,Source,Աղբյուր
71,hy.activerecord.attributes.medium_translation.image,Image,Նկար
72,hy.activerecord.attributes.medium_translation.video,Video,Վիդեո
73,hy.activerecord.attributes.slideshow.title,Title,Վերնագիր
74,hy.activerecord.attributes.slideshow.caption,Heading,Անվանում
75,hy.activerecord.attributes.message.name,Name,Name
76,hy.activerecord.attributes.message.email,Email Address,Email Address
77,hy.activerecord.attributes.message.message,Message,Message
78,hy.activerecord.attributes.message.message_type,Feedback Type,Feedback Type
79,hy.activerecord.attributes.embed_medium_translation.title,Title,Վերնագիր
80,hy.activerecord.attributes.embed_medium_translation.url,Url to Online Media,Առցանց Media-ի Url 
81,hy.activerecord.attributes.youtube.fullscreen,Fullscreen,Ամբողջ էկրանով
82,hy.activerecord.attributes.youtube.loop,Loop,Վերախաղարկել
83,hy.activerecord.attributes.youtube.info,Show Video Title Bar,Ցույց տալ վիդեոյի վերնագրի վահանակը
84,hy.activerecord.attributes.youtube_translation.title,Title,Վերնագիր
85,hy.activerecord.attributes.youtube_translation.url,Url to YouTube Video,YouTube վիդեոյի Url-ը
86,hy.activerecord.attributes.youtube_translation.menu_lang,Player Language,Խաղարկչի (փլեերի) լեզուն
87,hy.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Ցույց տալ ենթագրերը
88,hy.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Ենթագրերի լեզուն
89,hy.activerecord.attributes.language.locale,Locale,Տեղավայր
90,hy.activerecord.attributes.language.name,Language Name,Լեզու
91,hy.activerecord.attributes.category_translation.name,Name,Անուն
92,hy.activerecord.attributes.page.name,Unique name for content (do not change!),Եզակի անվանում բովանդակության համար (չփոխե՛լ)
93,hy.activerecord.attributes.page_translation.title,Title to show above content,"Վերնագիր, որը կհայտնվի բովանդակության վերևում "
94,hy.activerecord.attributes.page_translation.content,Content,Բովանդակություն
95,hy.activerecord.attributes.theme.is_published,Publish?,Հրապարակե՞լ
96,hy.activerecord.attributes.theme.published_at,Date Published,Հրապարակման ամսաթիվը
97,hy.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Ցո՞ւյց տալ այս թեման գլխավոր էջում
98,hy.activerecord.attributes.theme.published_item_count,Number of Published Items,Number of Published Items
99,hy.activerecord.attributes.theme_translation.name,Name,Անուն
100,hy.activerecord.attributes.theme_translation.edition,Edition,Ելից
101,hy.activerecord.attributes.theme_translation.description,Description,Նկարագրություն
102,hy.activerecord.attributes.theme_translation.permalink,URL,URL
103,hy.activerecord.attributes.story_type.sort_order,Sort Order,Դասակարգման հերթականություն
104,hy.activerecord.attributes.story_type_translation.name,Name,Անուն
105,hy.activerecord.attributes.story_type_translation.permalink,URL,URL
106,hy.activerecord.errors.messages.required_field,is a required field.,Պարտադիր լրացման համար
107,hy.activerecord.errors.messages.already_exists,already exists in the database.,Արդեն առկա է տվյալների բազայում
108,hy.activerecord.errors.messages.story_authors,must have at least one person selected.,Անհրաժեշտ է ընտրել նվազագույնը մեկ հոգու
109,hy.activerecord.errors.messages.publish_theme,The theme cannot be published until at least one published item has been assigned to the theme.,The theme cannot be published until at least one published item has been assigned to the theme.
110,hy.mailer.closing,"Sincerely,","Հարգանքով,"
111,hy.mailer.signature,The Chai Khana Team,Չայխանայի թիմ
112,hy.mailer.unsubscribe,Click here to change your notification settings,Սեղմեք այստեղ՝ փոխելու կարգավորումները
113,hy.mailer.contact.contact_form.subject,Chai Khana Contact Form,Չայխանային դիմումի ձև
114,hy.mailer.notification.new_user.subject,Welcome to Chai Khana!,Բարի գալուստ Չայխանա!
115,hy.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link]. ","Շնորհակալություն Չայխանային միանալու համար: Անհամբեր սպասում ենք Ձեր նյութերին: 

Հնարավորության դեպքում այցելեք Ձեր կարգավորումների էջը, որպեսզի թարմացնեք ավատարը, կեղծանունը, անձնական URL և Ձեր մասին համառոտ նկարագրությունը: [settings_link].         
Դուք կարող եք կարգավորել Չայխանայից նամակով ծանուցում ստանալու հաճախականությունը՝ այցելելով ծանուցումների էջը: [notifications_link]."
116,hy.mailer.notification.published_theme.subject,New themes have been published on Chai Khana!,New themes have been published on Chai Khana!
117,hy.mailer.notification.published_theme.message,The following themes you have expressed interest in were recently published:,The following themes you have expressed interest in were recently published:
118,hy.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,Չայխանայում հրապարակվել են նոր նյութեր
119,hy.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,"Սույն պատմությունները, որոնք Ձեզ հետաքրքրում էին, հրապարակվել են"
120,hy.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,Չայխանայի Ձեր հրապարակումը մեկնաբանել են!
121,hy.mailer.notification.story_comment.message,The following stories have recently received a comment:,Հետևյալ նյութերը նոր մեկնաբանություններ են ստացել:
122,hy.mailer.notification.story_comment.comment,1 Comment,1 Մեկնաբանություն
123,hy.mailer.notification.story_comment.comments,%{num} Comments,%{num} Մեկնաբանություններ
124,hy.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,Ձեզ հրավիրել են Չայխանա՝ նյութի շուրջ համագործակցության
125,hy.mailer.notification.story_collaboration.message,"You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part.","Դուք ստացել եք Չայխանայում այլ մարդկանց հետ համագոործակցելու հետևյալ հրավերները: Եթե ցանկանում եք ընդունել հրավերները, պարզապես սեղմեք «Ընդունել հրավերը»  հղումը: Եթե դուք ցանկանում եք մերժել այն, ապա ոչինչ մի արեք:"
126,hy.mailer.notification.story_collaboration.from,From,Հետադարձ հասցե
127,hy.mailer.notification.story_collaboration.role,Role,Կարգավիճակ
128,hy.mailer.notification.story_collaboration.story_title,Story Title,Վերնագիր
129,hy.mailer.notification.story_collaboration.msg,Message,Նամակ
130,hy.mailer.notification.story_collaboration.accept_link,Accept the Invitation,Ընդունել հրավերը
131,hy.mailer.notification.story_collaboration.all_invitations,View all of your Chai Khana collaboration invitations.,Դիտել համագործակցության հրավերները
132,hy.mailer.notification.processed_videos.subject,Your videos on Chai Khana have been processed!,Ձեր վիդեոների մշակումը Չայխանայում ավարտվեց
133,hy.mailer.notification.processed_videos.message,The following stories of yours have videos that have completed processing:,"Ձեր հետևյալ պատմությունները, պարունակում էին վիդեոներ, որոնց մշակումն ավարտված է"
134,hy.mailer.notification.processed_videos.story_title,Story:,նյութ:
135,hy.mailer.notification.processed_videos.status,Video Processing Status: %{processed} of %{total} completed,Վիդեոյի մշակման ընթացքը՝ %{processed} -ից %{total} ավարտված է
136,hy.mailer.notification.processed_videos.processed,Videos Processed:,Վիդեոն մշակված է
137,hy.mailer.notification.processed_videos.not_processed,Videos Still Processing:,Վիդեոյի մշակումն ընթացքի մեջ է
138,hy.mailer.notification.processed_videos.none_processed,No vidoes have been processed.,Վիդեոներ չեն մշակվել
139,hy.mailer.notification.processed_videos.none_processing,All videos have been processed!,Բոլոր վիդեոների մշակումն ավարտված է
140,hy.mailer.notification.processed_video_errors.subject,Videos on Chai Khana have processing errors!,"Չայխանայում, վիդեոյի մշակման ընթացքում ի հայտ է եկել սխալ"
141,hy.mailer.notification.processed_video_errors.message,The following videos had errors while being processed:,Հետևյալ վիդեոների մշակման ընթացքում ի հայտ է եկել սխալ
142,hy.mailer.notification.processed_video_errors.story_id,Story ID,Նյութի ID
143,hy.mailer.notification.processed_video_errors.asset_id,Asset ID,Ֆայլի ID
144,hy.mailer.notification.processed_video_errors.path,URL of Video,Վիդեոյի URL
145,hy.helpers.actions,Actions,Գործողություններ
146,hy.helpers.links.admin,Admin Section,Ադմինի բաժին
147,hy.helpers.links.edit,Edit,Խմբագրել
148,hy.helpers.links.confirm,Are you sure?,Համոզված եք?
149,hy.helpers.links.destroy,Delete,Ջնջել
150,hy.helpers.links.new,New,Նոր
151,hy.helpers.links.list,View All,Դիտել բոլորը
152,hy.helpers.links.back,View All,Դիտել բոլորը
153,hy.helpers.links.cancel,Cancel,Չեղարկել
154,hy.helpers.links.reset,Reset,Վերագործարկել
155,hy.helpers.links.view,View,Դիտել
156,hy.helpers.links.sign_in_facebook,Sign in with Facebook,Մուտք գործել Ֆեյսբուքով
157,hy.helpers.links.edit_story,Edit Story Settings,Խմբագրել Նյութի կարգավորումները 
158,hy.helpers.links.delete_story,Delete Story,Ջնջել նյութը
159,hy.helpers.links.admin_story,Edit Content,Խմբագրել բովանդակությունը
160,hy.helpers.links.publish_story,Publish Story,Հրապարակել նյութը
161,hy.helpers.links.forgot_password,Forgot Password?,Մոռացե՞լ եք գաղտնաբառը
162,hy.helpers.links.change_password,Change Your Password,Փոխել Ձեր գաղտնաբառը 
163,hy.helpers.links.change_password2,Change Password,Փոխել գաղտնաբառը 
164,hy.helpers.links.password_reset,Reset Password,Վերականգնել գատնաբառը
165,hy.helpers.links.sign_in2,Sign In,Մուտք գործել 
166,hy.helpers.links.sign_in,Already have an account?,Արդեն գրանցվե՞լ եք
167,hy.helpers.links.sign_up2,Sign Up,Գրանցվել
168,hy.helpers.links.sign_up_question,Not a member yet?,Դեռ անդամ չե՞ք
169,hy.helpers.links.sign_up,Register now,Գրանցվել հիմա
170,hy.helpers.links.sign_up_title,Join Chai Khana,Միացիր Չայխանային
171,hy.helpers.links.sign_out,Sign Out,Դուրս գալ
172,hy.helpers.links.sign_in_provider,Sign in with %{provider},Մուտք գործել %{provider} ով
173,hy.helpers.links.sign_up_provider,Sign up with %{provider},Գրանցվել %{provider}-ով
174,hy.helpers.links.sign_in_local_or_provider,or log in with your email and password,կամ մուտք գործել էլեկտրոնային փոտի միջոցով և գաղտնաբառով
175,hy.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,Մուտք գործել Facebook-ով կամ վերականգնել գաղտնաբառը 
176,hy.helpers.links.add_story,Add Story,Ավելացնել նյութ
177,hy.helpers.links.users,Users,Օգտատերեր
178,hy.helpers.links.authors,Authors,Հեղինակներ
179,hy.helpers.links.feedback,Feedback,Հետադարձ կապ
180,hy.helpers.links.about,About,Մեր մասին
181,hy.helpers.links.rss,RSS,RSS
182,hy.helpers.links.themes,Themes,Թեմաներ
183,hy.helpers.links.story_types,Types,Տեսակներ
184,hy.helpers.links.languages,Languages,Լեզուներ
185,hy.helpers.links.follow,Follow,Միանալ
186,hy.helpers.links.facebook,Facebook,Facebook
187,hy.helpers.links.twitter,Twitter,Twitter
188,hy.helpers.links.youtube,YouTube,YouTube
189,hy.helpers.links.subscribe,Subscribe,Բաժանորդագրվել
190,hy.helpers.links.user_settings,Settings,Կարգավորումներ
191,hy.helpers.links.like,Like,Հավանել
192,hy.helpers.links.likes,Likes,Հավանել
193,hy.helpers.links.comments,Comment on this story,Մեկնաբանել նյութը
194,hy.helpers.links.views,%{num} views,%{num} Դիտումներ
195,hy.helpers.links.tags,Tags,Պիտակներ (Tags)
196,hy.helpers.links.menu,Menu,Մենյու
197,hy.helpers.links.pages,Edit Text on Site,Խմբագրել տեքստը կայքում
198,hy.helpers.links.next,Next,Հաջորդը
199,hy.helpers.links.feed,Feed,Լրահոս
200,hy.helpers.links.story_menu.link.story,Story,նյութ
201,hy.helpers.links.story_menu.link.story_settings,Story Settings,Նյութի կարգավորումները
202,hy.helpers.links.story_menu.link.collaborators,Collaborators,Համագործակիցներ
203,hy.helpers.links.story_menu.link.preview,Preview,Նախադիտում
204,hy.helpers.links.story_menu.link.publish,Publish,Հրապարակել
205,hy.helpers.links.story_menu.link.unpublish,Unpublish,Հրապարակումը չեղարկել 
206,hy.helpers.links.story_menu.link.review,Private URL,Մասնավոր URL
207,hy.helpers.links.story_menu.link.clone,Clone,Կրկնoրինակել
208,hy.helpers.links.story_menu.link.export,Download,Ներբեռնել
209,hy.helpers.links.story_menu.link.delete_story,Delete,Ջնջել
210,hy.helpers.links.story_menu.link.translations,Translations,Թարգմանություններ
211,hy.helpers.links.story_menu.title.story,Edit your story,Խմբագրեք Ձեր նյութը
212,hy.helpers.links.story_menu.title.story_settings,"Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc.","Խմբագրել նյութը, վերնագիրը, հեղինակներին, URL-ը, համառոտ նկարագրությունը, մանրապատկերը (thumbnail), lլեզուն, պիտակները (tags) այս կամ այն դասակարգումները, բովանդակությունը և այլն."
213,hy.helpers.links.story_menu.title.collaborators,Manage which users have access to edit your story,"Կարգավորել, թե որ օգտատերերը կարող են խմբագրել Ձեր նյութը"
214,hy.helpers.links.story_menu.title.preview,See how your story looks,"Տեսնել, թե ինչ տեսք ունի ձեր նյութը"
215,hy.helpers.links.story_menu.title.publish,Make your story viewable to the world,Տեսանելի դարձրեք Ձեր նյութն աշխարհին
216,hy.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,Անտեսանելի դարձրեք Ձեր նյութն աշխարհին
217,hy.helpers.links.story_menu.title.review,URL to share this story before publishing,Այս նյութի՝ նախքան հրապարակելը տարածելու համար նախատեսված URL 
218,hy.helpers.links.story_menu.title.clone,Copy this story into a new story,Պատճենել այս նյութը նոր նյութի մեջ 
219,hy.helpers.links.story_menu.title.export,Download the complete story,Ներբեռնել ամբողջական նյութը 
220,hy.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Ջնջված նյութը չի վերականգնվի
221,hy.helpers.links.story_menu.title.translations,Translate your story into other languages,Թարգմանել Ձեր նյութն այլ լեզուներով
222,hy.helpers.titles.new,New %{model},Նոր %{model}
223,hy.helpers.titles.edit,Edit %{model},Խմբագրել %{model}
224,hy.helpers.titles.story_list,My Stories,Իմ նյութերը
225,hy.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)",Ձեր կեղծանունը օգտագործվում է URL-ում Ձեր հրապարակած նյութերի համար (Օր. կեղծանուն/ նյութ-վերնագիր)
226,hy.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,"Նկար, որը կտեղադրվի վերին վահանակում և Ձեր էջում (միայն png և jpg)"
227,hy.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Հեղինակի էջի նկար (միայն png և jpg)
228,hy.helpers.hints.like,Like this story,Հավանել այս նյութը
229,hy.helpers.hints.unlike,Unlike this story,Չհավանել այս նյութը 
230,hy.helpers.hints.staff_pick,Select as Staff Pick,Նշել որպես «Խմբագրության ընտրանի»
231,hy.helpers.hints.staff_unpick,Unselect as Staff Pick,Չեղարկել «Խմբագրության ընտրանի»-ն
232,hy.helpers.hints.is_staff_pick,Staff Pick,Խմբագրության ընտրանի
233,hy.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","Նշելու դեպքում, ձախ կողմում գտնվող ֆայլը կներառվի այս թարգմանության համար"
234,hy.app.language.en,English,English
235,hy.app.language.ka,ქართული,ქართული
236,hy.app.language.hy,Հայերեն,Հայերեն
237,hy.app.language.ru,Русский,Русский
238,hy.app.language.az,Azərbaycan,Azərbaycan
239,hy.app.buttons.back,View All,Դիտել բոլորը
240,hy.app.buttons.list,View All,Դիտել բոլորը
241,hy.app.buttons.admin,Admin Section,Ադմինի բաժին
242,hy.app.buttons.delete,Delete,Ջնջել
243,hy.app.buttons.edit,Edit,Խմբագրել
244,hy.app.buttons.show,Show,Ցույց տալ
245,hy.app.buttons.cancel,Cancel,Չեղարկել
246,hy.app.buttons.update,Update,Թարմացնել
247,hy.app.buttons.save,Save,Պահպանել
248,hy.app.buttons.save_and_next,Save & Next,Պահպանել & Հաջորդը
249,hy.app.buttons.create,Create,Ստեղծել
250,hy.app.buttons.reset,Reset,Վերագործարկել
251,hy.app.buttons.remove,Remove,Հեռացնել
252,hy.app.buttons.confirm,Are you sure?,Համոզված եք?
253,hy.app.buttons.new,New,Նոր
254,hy.app.buttons.add_section,Add Section,Ավելացնել բաժին
255,hy.app.buttons.add_item,Add Item into Section,Բաժնին ավելացնել օբյեկտ
256,hy.app.buttons.up,Move Selected Section/Item Up,Տեղափոխել նշված բաժինը/օբյեկտը վերև
257,hy.app.buttons.down,Move Selected Section/Item Down,Տեղափոխել նշված բաժինը/օբյեկտը ներքև
258,hy.app.buttons.delete_item,Delete Selected Section/Item,Ջնջել նշված բաժինը/օբյեկտը
259,hy.app.buttons.preview,Preview,Նախադիտում
260,hy.app.buttons.preview_image,Preview Image,Նկարի նախադիտում
261,hy.app.buttons.preview_video,Preview Video,Վիդեոյի նախադիտում
262,hy.app.buttons.preview_audio,Listen To Audio,Լսել աուդիոն
263,hy.app.buttons.publish,Publish,Հրապարակել
264,hy.app.buttons.unpublish,Unpublish,Հրապարակումը չեղարկել 
265,hy.app.buttons.clone,Copy this story into a new story,Պատճենել այս նյութը նոր Նյութի մեջ
266,hy.app.buttons.export,Download the complete story,Ներբեռնել ամբողջական նյութը 
267,hy.app.buttons.scroll,Scroll,Ոլորում
268,hy.app.buttons.reviewer_key,Get URL to share this story before publishing,Ստացիր URL-ը՝ տարածելու նյութը նախքան հրապարակելը
269,hy.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,"Ձեր նյութը հրապարակվել է, այլևս կարիք չկա տարածելու այս չհրապարակված URL-ը"
270,hy.app.buttons.explore,Explore,Բացահայտել
271,hy.app.common.app_name_not_trans,Chai Khana,Չայխանա
272,hy.app.common.app_name,Chai Khana,Չայխանա
273,hy.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Չայխանա ՀԿ-ն կազմակերպում է դասընթացներ տարածաշրջանի լրագրողների համար և առցանց հրապարակում մուլտիմեդիա նյութեր հարավկովկասյան խնդիրների վերաբերյալ
274,hy.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Չայխանա ՀԿ-ն կազմակերպում է դասընթացներ տարածաշրջանի լրագրողների համար և առցանց հրապարակում մուլտիմեդիա նյութեր հարավկովկասյան խնդիրների վերաբերյալ
275,hy.app.common.powered_by,Powered by,Աջակցությամբ
276,hy.app.common.powered_by_js,Jumpstart Georgia,Jumpstart Georgia
277,hy.app.common.powered_by_end,,
278,hy.app.common.embed_slogan,Build your story with Chai Khana,Ստեղծեք Ձեր նյութը Չայխանայում
279,hy.app.common.added_on,Added on: %{date},Ավելացվել է: %{date}
280,hy.app.common.last_sign_in,Logged in last: %{date},Վերջին մուտքը: %{date}
281,hy.app.common.admin,Admin,Ադմին
282,hy.app.common.sign_out,Sign Out,Դուրս գալ
283,hy.app.common.jumpstart,JumpStart Georgia,JumpStart Georgia
284,hy.app.common.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - Ավելի լավ ենք համադրում տվյալները
285,hy.app.common.js_link_text,Built by,Ստեղծող
286,hy.app.common.search,Search for Story ...,Փնտրել նյութը
287,hy.app.common.build,Build Story,Ստեղծել նյութ
288,hy.app.common.explore,Explore Stories,Բացահայտել նյութեր
289,hy.app.common.about_story,About,Մեր մասին
290,hy.app.common.likes,Likes,Հավանումներ
291,hy.app.common.comments,Comments,Մեկնաբանություններ
292,hy.app.common.publish_date,Publish Date,Հրապարակման ամսաթիվը
293,hy.app.common.follow,Follow,Միանալ
294,hy.app.common.following,Following,Միացածները
295,hy.app.common.follow_link_title,Click to receive notifications whenever this author publishes new stories,"Սեղմեք, որպեսզի ստանաք ծանուցումներ այս օգտատիրոջ նոր հրապարակումների վերաբերյալ"
296,hy.app.common.unfollow_link_title,Click to stop receiving notifications whenever this author publishes new stories,"Սեղմեք, որպեսզի դադարեք ստանալ ծանուցումներ այս օգտատիրոջ նոր հրապարակումների վերաբերյալ"
297,hy.app.common.email,Email,Էլեկտրոնային փոստ
298,hy.app.common.views,Views,Դիտումներ
299,hy.app.common.permalink,Permalink,Պերմալինկ
300,hy.app.common.shortened_url,Short URL,Կարճ URL
301,hy.app.common.share_story,Share this story,Տարածել այս նյութը
302,hy.app.common.share_facebook,Share on Facebook,Տարածել Facebook-ում
303,hy.app.common.share_twitter,Share on Twitter,Տարածել Twitter-ում
304,hy.app.common.share,Share,Տարածել
305,hy.app.common.staff_pick,Staff Pick,Խմբագրության ընտրանի
306,hy.app.common.wide,wide,Լայն դիտում
307,hy.app.common.partial,Link to Story,Նյութի հղումը
308,hy.app.common.partial_text,"Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)","Նյութի մեջ ներդնել հղում, որը ունի նույն տեսքը, ինչը որ ունեն Չայխանայի գլխավոր էջի նյութերը (նկար, վերնագիր, հեղինակ, և այլն)"
309,hy.app.common.full,Full Story,Ամբողջական նյութը
310,hy.app.common.full_text,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.,"Ներդնել նյութը այլ կայքում. մենք խորհուրդ ենք տալիս, որպեսզի ընտրեք առավելագույն լայնություն` հնարավորինս բարձր որակով դիտման համար"
311,hy.app.common.feed,Chai Khana Feeds,Չայխանայի լրահոսը
312,hy.app.common.home,Home,Գլխավոր էջ
313,hy.app.common.required,Required,Պարտադիր
314,hy.app.common.nothing_selected,Nothing Selected,Ոչինիչ չի ընտրվել
315,hy.app.common.clone_asset,Use the original file?,Օգտագործել օրիգինալ ֆայլը?
316,hy.app.common.embed,Embed Code,Embed Code
317,hy.app.common.scroll_top,Scroll to the top,Scroll to the top
318,hy.app.msgs.does_not_exist,You tried to access a page that does not exist.,Էջը գոյություն չունի
319,hy.app.msgs.not_authorized,You are not authorized to view that page.,Չեք կարող դիտել այս էջը.
320,hy.app.msgs.success_created,%{obj} was successfully created.,%{obj} հաջողությամբ ստեղծվել է
321,hy.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} հաջողությամբ թարմացվել է
322,hy.app.msgs.success_publish,%{obj} was successfully published.,%{obj} հաջողությամբ հրապարակվել է
323,hy.app.msgs.success_unpublish,%{obj} was successfully unpublished.,%{obj} հաջողությամբ չի հրապարակվել
324,hy.app.msgs.success_clone,%{obj} was successfully cloned to %{to}.,%{obj} հաջողությամբ կրկնօրինակվել է %{to}.
325,hy.app.msgs.error_created,%{obj} wasn't created: %{err},%{obj} չի ստեղծվել: %{err}
326,hy.app.msgs.error_updated,%{obj} wasn't updated: %{err},%{obj} չի թարմացվել: %{err}
327,hy.app.msgs.error_publish,%{obj} wasn't published: %{err},%{obj} չի հրապարակվել: %{err}
