Line #,Key,en Version,az Translation
49,az.activerecord.attributes.story.categories,Categories,Kateqoriyalar
50,az.activerecord.attributes.story.story_type,Type,Növ
51,az.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Hekayəni Mövzu Slaydlarında Göstər 
52,az.activerecord.attributes.story_translation.title,Story Title,Hekayənin Sərlövhəsi
53,az.activerecord.attributes.story_translation.author,Author(s),Müəllif(lər)
54,az.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Foto və Video Müəllifi (singular) Müəllifləri (plural)
55,az.activerecord.attributes.story_translation.translation_author,Translation Author(s),Tərcümə Müəllifi (s) Müəllifləri (pl)
56,az.activerecord.attributes.story_translation.published,Publish?,Dərc et?
57,az.activerecord.attributes.story_translation.published_at,Was Published,Dərc edilmişdir
58,az.activerecord.attributes.story_translation.about,Story Summary,Hekayənin Xülasəsi
59,az.activerecord.attributes.story_translation.permalink,Story URL,Hekayənin URL-ı
60,az.activerecord.attributes.story_translation.permalink_staging,Story URL,Hekayənin URL-ı
76,az.activerecord.attributes.section.has_marker,Navigation Shortcut,Naviqasiya Qısayolu
77,az.activerecord.attributes.section.type_id,Type,"Növ (""Yaz"" if you mean the verb ""to type"")"
78,az.activerecord.attributes.section.sort_order,Sort Order,Sıralama Qaydası
79,az.activerecord.attributes.section_translation.title,Title,Sərlövhə
80,az.activerecord.attributes.section_translation.audio,Audio Track,Audio Cığırı
81,az.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Audio Cığırını Sil?
91,az.activerecord.attributes.content_translation.title,Title,Sərlövhə
92,az.activerecord.attributes.content_translation.caption,Heading,Başlıq
93,az.activerecord.attributes.content_translation.sub_caption,Subheading,Alt-başlıq
94,az.activerecord.attributes.content_translation.content,Text,Mətn
99,az.activerecord.attributes.medium.media_type,Media Type,Media Növü
100,az.activerecord.attributes.medium.image,Image,Şəkil
101,az.activerecord.attributes.medium.video,Video,Video
102,az.activerecord.attributes.medium.video_loop,Loop Video,Fasiləsiz Baxış (if playing on repeat) Video Dövrü
103,az.activerecord.attributes.medium_translation.title,Title,Sərlövhə
104,az.activerecord.attributes.medium_translation.caption,Caption,Şəkilaltı imza (if caption is for image)
105,az.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Şəkilaltı İmzanı Düzləndirmək
106,az.activerecord.attributes.medium_translation.infobox_type,Caption Position,Şəkilaltı İmzanın Yeri
107,az.activerecord.attributes.medium_translation.summary,Summary,Xülasə
108,az.activerecord.attributes.medium_translation.source,Source,Mənbə
109,az.activerecord.attributes.medium_translation.image_name,Image,Şəkil
110,az.activerecord.attributes.medium_translation.video_name,Video,Video
131,az.activerecord.attributes.slideshow_translation.title,Title,Sərlövhə
132,az.activerecord.attributes.slideshow_translation.caption,Heading,Başlıq
133,az.activerecord.attributes.slideshow_translation.description,Description,Təsvir
134,az.activerecord.attributes.slideshow_translation.asset_files_name,Image(s),Image(s)
145,az.activerecord.attributes.message.name,Name,Name
146,az.activerecord.attributes.message.email,Email Address,Email Address
147,az.activerecord.attributes.message.message,Message,Message
148,az.activerecord.attributes.message.message_type,Feedback Type,Feedback Type
149,az.activerecord.attributes.embed_medium_translation.title,Title,Alt-başlıq
150,az.activerecord.attributes.embed_medium_translation.url,URL to Online Media,Onlayn Mediaya URL
153,az.activerecord.attributes.youtube.fullscreen,Fullscreen,Tam ekran
154,az.activerecord.attributes.youtube.loop,Loop,Dövr
155,az.activerecord.attributes.youtube.info,Show Video Title Bar,Videonun Sərlövhə Zolağını Göstər
156,az.activerecord.attributes.youtube_translation.title,Title,Sərlövhə
157,az.activerecord.attributes.youtube_translation.url,URL to YouTube Video,YouTube Videosunun URL-ı
158,az.activerecord.attributes.youtube_translation.menu_lang,Player Language,Pleyerin Dili
159,az.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Şəkilaltı İmzanı/Sərlövhəni Göstər
160,az.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Alt-başlığın dili
161,az.activerecord.attributes.youtube_translation.code,Youtube Video Id,
168,az.activerecord.attributes.infographic.published_at,Date Published,Date Published
169,az.activerecord.attributes.infographic.image,Infographic Image,Infographic Image
170,az.activerecord.attributes.infographic.dataset_file,Related File,Dataset File
171,az.activerecord.attributes.infographic.datasources,Data Sources,Data Sources
172,az.activerecord.attributes.infographic.subtype,Infographic Type,Infographic Type
173,az.activerecord.attributes.infographic.dynamic_width,Width,Width
174,az.activerecord.attributes.infographic.dynamic_height,Height,Height
175,az.activerecord.attributes.infographic.dynamic_render,Show Infographic in Story or in Popup,Show Infographic in Story or in Popup
176,az.activerecord.attributes.infographic_translation.title,Title,Title
177,az.activerecord.attributes.infographic_translation.caption,Heading,Heading
178,az.activerecord.attributes.infographic_translation.description,Description,Description
179,az.activerecord.attributes.infographic_translation.dataset_url,Online Dataset,Online Dataset
180,az.activerecord.attributes.infographic_translation.image_name,Image,Image
187,az.activerecord.attributes.infographic_translation.dynamic_url,Dynamic URL,Dynamic URL
200,az.activerecord.attributes.infographic_datasource.name,Data Source Name,Data Source Name
201,az.activerecord.attributes.infographic_datasource.url,Data Source URL,Data Source URL
202,az.activerecord.attributes.language.locale,Locale,Dil
203,az.activerecord.attributes.language.name,Language Name,Dilin Adı
204,az.activerecord.attributes.category_translation.name,Name,Ad
206,az.activerecord.attributes.page.name,Unique name for content (do not change!),Məzmunun Xüsusi adı (bunu dəyişmə!)
207,az.activerecord.attributes.page_translation.title,Title to show above content,Məzmunun üstündə göstəriləcək sərlövhə
208,az.activerecord.attributes.page_translation.content,Content,Məzmun
211,az.activerecord.attributes.theme.is_published,Publish?,Dərc et?
212,az.activerecord.attributes.theme.published_at,Date Published,Dərc Edilmə Tarixi
213,az.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Bu mövzunu ana səhifədə göstər?
214,az.activerecord.attributes.theme.published_item_count,Number of Published Items,Dərc olunan məhsulların sayı
215,az.activerecord.attributes.theme.featured_stories,Featured Stories,Featured Stories
216,az.activerecord.attributes.theme_translation.name,Name,Ad
217,az.activerecord.attributes.theme_translation.edition,Edition,Buraxılış
218,az.activerecord.attributes.theme_translation.description,Description,Təsvir
219,az.activerecord.attributes.theme_translation.permalink,URL,URL
224,az.activerecord.attributes.story_type.sort_order,Sort Order,Sıralama Qaydası
225,az.activerecord.attributes.story_type_translation.name,Name,Ad
226,az.activerecord.attributes.story_type_translation.permalink,URL,URL
229,az.activerecord.errors.messages.required_field,is a required field.,tələb edilən sahədir.
230,az.activerecord.errors.messages.already_exists,already exists in the database.,verilənlər bazası artıq mövcuddur.
231,az.activerecord.errors.messages.story_authors,must have at least one person selected.,ən azı bir şəxs seçilməlidir.
232,az.activerecord.errors.messages.publish_theme,The theme cannot be published until at least one published item has been assigned to the theme.,Dərc olunan maddə təyin edilməmiş qədər  mövzu dərc edilə bilməz.
233,az.activerecord.errors.messages.not_provided,must be provided.,must be provided.
234,az.mailer.closing,"Sincerely,","Hörmətlə,"
235,az.mailer.signature,The Chai Khana Team,Çayxana Komandası (Chai Khana also acceptable)
236,az.mailer.unsubscribe,Click here to change your notification settings,Bildiriş parametrlərini dəyişmək üçün buraya basın
237,az.mailer.contact.contact_form.subject,Chai Khana Contact Form,Çayxana Əlaqə Forması
238,az.mailer.notification.new_user.subject,Welcome to Chai Khana!,Çayxanaya Xoş Gəlmisiniz!
239,az.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link]. ","Çayxananın üzvü olduğunuz üçün təşəkkür edirik. Sizin yaradacağınız hekayələri səbirsizliklə gözləyirik!

Lütfən, imkanınız olanda parametrlər səhifənizə daxil olun ki, avatarınızı, ləqəbinizi, şəxsi URL-ınızı, və özünüz barədə xülasəni yenilədə biləsiniz: [settings_link].

Bildiriş səhifəsinə gedərək, Çayxanadan aldığınız bildirişlərin vaxtını müəyyənləşdirə bilərsiniz: [notifications_link]."
240,az.mailer.notification.published_theme.subject,New themes have been published on Chai Khana!,New themes have been published on Chai Khana!
241,az.mailer.notification.published_theme.message,The following themes you have expressed interest in were recently published:,The following themes you have expressed interest in were recently published:
242,az.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,Çayxanada yeni hekəyələr dərc edilib!
243,az.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,Maraq göstərdiyiniz növbəti hekayələr təzəlikcə dərc edilib:
244,az.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,Kimsə sizin Cayxanadaki hekayənizə şərh yazıb!
245,az.mailer.notification.story_comment.message,The following stories have recently received a comment:,Növbəti hekayələr təzəlikcə şərh alıblar:
246,az.mailer.notification.story_comment.comment,1 Comment,1 Şərh
247,az.mailer.notification.story_comment.comments,%{num} Comments,%{num} Şərhlər
248,az.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,Çayxanada bir hekayə üzrə əməkdaşlığa dəvət edilmisiniz!
249,az.mailer.notification.story_collaboration.message,"You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part.","Çayxanada başqaları ilə hekayələr üzrə əməkdaşlığa növbəti dəvətləri almısınız. Dəvəti qəbul etmək istəyirsinizsə, sadəcə ""Dəvəti qəbul et"" keçidinə basın. Əgər dəvəti qəbul etmək istəmirsinizsə, başqa heç bir hərəkət etməyiniz lazım deyil. "
250,az.mailer.notification.story_collaboration.from,From,Kimdən
251,az.mailer.notification.story_collaboration.role,Role,Rol
252,az.mailer.notification.story_collaboration.story_title,Story Title,Hekayı Sərlövhəsi
253,az.mailer.notification.story_collaboration.msg,Message,Mesaj
254,az.mailer.notification.story_collaboration.accept_link,Accept the Invitation,Dəvəti Qəbul Et
255,az.mailer.notification.story_collaboration.all_invitations,View all of your Chai Khana collaboration invitations.,Bütün Çayxana əmədaşlıq dəvətlərinə bax.
256,az.mailer.notification.processed_videos.subject,Your videos on Chai Khana have been processed!,Çayxanadakı videolarınız emal edilibdir!
257,az.mailer.notification.processed_videos.message,The following stories of yours have videos that have completed processing:,Növbəti hekayələrinizin videolarının emalı tamamlanıb:
258,az.mailer.notification.processed_videos.story_title,Story:,Hekayə:
259,az.mailer.notification.processed_videos.status,Video Processing Status: %{processed} of %{total} completed,Videonun emal vəziyyəti: %{processed} of %{total} tamamlanıb
260,az.mailer.notification.processed_videos.processed,Videos Processed:,Video emal edilib:
261,az.mailer.notification.processed_videos.not_processed,Videos Still Processing:,Videolar hələ emal edilir:
262,az.mailer.notification.processed_videos.none_processed,No vidoes have been processed.,Heç bir video emal edilməyib.
263,az.mailer.notification.processed_videos.none_processing,All videos have been processed!,Videoların hamısı emal edildi!
264,az.mailer.notification.processed_video_errors.subject,Videos on Chai Khana have processing errors!,Videos on Chai Khana have processing errors!
265,az.mailer.notification.processed_video_errors.message,The following videos had errors while being processed:,Növbəti videolar emal edilərkən xətalar baş verib:
266,az.mailer.notification.processed_video_errors.story_id,Story ID,Hekayənin ID-si
267,az.mailer.notification.processed_video_errors.asset_id,Asset ID,Materialın ID-si
268,az.mailer.notification.processed_video_errors.path,URL of Video,Videonun URL-ı
269,az.helpers.actions,Actions,Hərəkətlər
270,az.helpers.links.admin,Admin Section,İnzibati Bölmə
271,az.helpers.links.edit,Edit,Redaktə et
272,az.helpers.links.confirm,Are you sure?,Əminsinizmi?
273,az.helpers.links.destroy,Delete,Sil
274,az.helpers.links.new,New,Yeni
275,az.helpers.links.list,View All,Hamısına Bax
276,az.helpers.links.back,View All,Hamısına Bax
277,az.helpers.links.cancel,Cancel,Ləğv Et
278,az.helpers.links.reset,Reset,Sıfırla
279,az.helpers.links.view,View,Bax
280,az.helpers.links.sign_in_facebook,Sign in with Facebook,Facebookla Daxil Ol
281,az.helpers.links.edit_story,Edit Story Settings,"Hekayənin Parametrlərini Redaktə Et (""Dəyiş"" sounds more appropriate than Redaktə Et, but means ""Change"")"
282,az.helpers.links.delete_story,Delete Story,Hekayəni Sil
283,az.helpers.links.admin_story,Edit Content,Məzmunu Redaktə Et
284,az.helpers.links.publish_story,Publish Story,Hekayəni Dərc Et
285,az.helpers.links.forgot_password,Forgot Password?,Parolu unutdun?
286,az.helpers.links.change_password,Change Your Password,Parolunu Dəyiş
287,az.helpers.links.change_password2,Change Password,Parolu Dəyiş
288,az.helpers.links.password_reset,Reset Password,Parolu Sıfırla
289,az.helpers.links.sign_in2,Sign In,Daxil Ol
290,az.helpers.links.sign_in,Already have an account?,Artıq Hesabın Var?
291,az.helpers.links.sign_up2,Sign Up,Qeydiyyatdan Keç
292,az.helpers.links.sign_up_question,Not a member yet?,Hələ Üzv deyilsən?
293,az.helpers.links.sign_up,Register now,İndi Qeyd Ol
294,az.helpers.links.sign_up_title,Join Chai Khana,Çayxanaya Qoşul
295,az.helpers.links.sign_out,Sign Out,Çıx
296,az.helpers.links.sign_in_provider,Sign in with %{provider},%{provider}-lə Daxil Ol
297,az.helpers.links.sign_up_provider,Sign up with %{provider},%{provider}-lə Qeyd Ol
298,az.helpers.links.sign_in_local_or_provider,or log in with your email and password,yaxud e-poçt və parol ilə daxil ol
299,az.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,Facebook-la daxil ol və ya parolunu sıfırla
300,az.helpers.links.add_story,Add Story,Hekayəni Əlavə Et
301,az.helpers.links.users,Users,İstifadəçilər
302,az.helpers.links.authors,Authors,Müəlliflər
303,az.helpers.links.feedback,Feedback,Qeri bildirim
304,az.helpers.links.about,About,Haqqında
305,az.helpers.links.rss,RSS,RSS
306,az.helpers.links.themes,Themes,Mövzular
307,az.helpers.links.story_types,Types,Növlər
308,az.helpers.links.languages,Languages,Dillər
309,az.helpers.links.follow,Follow,İzlə
310,az.helpers.links.facebook,Facebook,Facebook
311,az.helpers.links.twitter,Twitter,Twitter
312,az.helpers.links.youtube,YouTube,YouTube
313,az.helpers.links.subscribe,Subscribe,Əbunə Ol
314,az.helpers.links.user_settings,Settings,Parametrlər
315,az.helpers.links.like,Like,Bəyən
316,az.helpers.links.likes,Likes,Bəyənir
317,az.helpers.links.comments,Comment on this story,Bu hekayə barədə şərh yaz
318,az.helpers.links.views,%{num} views,%{num} baxılışlar
319,az.helpers.links.tags,Tags,Nişanlar
320,az.helpers.links.menu,Menu,Menyu
321,az.helpers.links.pages,Edit Text on Site,Mətni Saytda Redaktə Et
322,az.helpers.links.next,Next,Next
323,az.helpers.links.feed,Feed,Xəbər Lenti
324,az.helpers.links.download,Download,Download
325,az.helpers.links.previous,Previous,Previous
326,az.helpers.links.story_menu.link.story,Story,Hekayə
327,az.helpers.links.story_menu.link.story_settings,Story Settings,Hekayə Parametrləri
328,az.helpers.links.story_menu.link.collaborators,Collaborators,Əməkdaşlar
329,az.helpers.links.story_menu.link.preview,Preview,Öncəbaxış
330,az.helpers.links.story_menu.link.publish,Publish,Dərc Et
331,az.helpers.links.story_menu.link.unpublish,Unpublish,Dərc etdiyini ləğv et
332,az.helpers.links.story_menu.link.review,Private URL,Özəl URL
333,az.helpers.links.story_menu.link.clone,Clone,Kopya Yarat
334,az.helpers.links.story_menu.link.export,Download,Endir
335,az.helpers.links.story_menu.link.delete_story,Delete,Sil
336,az.helpers.links.story_menu.link.translations,Translations,Tərcümələr
337,az.helpers.links.story_menu.title.story,Edit your story,Hekayəni redaktə et
338,az.helpers.links.story_menu.title.story_settings,"Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc.","Hekayənin sərlövhəsini, müəlliflərini, URL-nı,xülasəsini, eskizini, dilini, nişanlarını və ya kateqoriyalarını və s. redaktə et."
339,az.helpers.links.story_menu.title.collaborators,Manage which users have access to edit your story,Sənin hekayəni redaktə etməyə icazəsi olan istifadəçiləri idarə et
340,az.helpers.links.story_menu.title.preview,See how your story looks,Hekayənin görünüşünə bax
341,az.helpers.links.story_menu.title.publish,Make your story viewable to the world,Goy dünya hekayəni görsün
342,az.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,Dünyanı hekayəni görməyə qoyma 
343,az.helpers.links.story_menu.title.review,URL to share this story before publishing,Hekayəni dərc etdikdən öncə paylaşılma URL-ı
344,az.helpers.links.story_menu.title.clone,Copy this story into a new story,Bu hekayəni yeni hekayəyə köçür
345,az.helpers.links.story_menu.title.export,Download the complete story,Tam hekayəni endir
346,az.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Hekayəni silmək mümkün deyil
347,az.helpers.links.story_menu.title.translations,Translate your story into other languages,Hekayəni başqa dillərə tərcümə et
348,az.helpers.titles.new,New %{model},Yeni %{model}
349,az.helpers.titles.edit,Edit %{model},Redaktə Et %{model}
350,az.helpers.titles.story_list,My Stories,Mənim Hekayələrim
351,az.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","Dərc edimiş hekayələrinin URL-ında sənin ləqəbin istifadə edilir (məsələn, ləqəb/hekayə-sərlövhə)"
352,az.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,Sənin istifadəçi səhifənin başlıq panelində göstərilən şəkil (yalnız png və jpg).
353,az.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Müəllifin səhifəsində göstərilən şəkil (yalnız png və jpg).
354,az.helpers.hints.like,Like this story,Bu hekayəni bəyən
355,az.helpers.hints.unlike,Unlike this story,Bu hekayəni bəyənmə
356,az.helpers.hints.staff_pick,Select as Staff Pick,Redaksiya Heyətinin Seçimi kimi Seç
357,az.helpers.hints.staff_unpick,Unselect as Staff Pick,Redaksiyə Heyətinin Seçimi kimi Seçmə
358,az.helpers.hints.is_staff_pick,Staff Pick,Redaksiyə Heyətinin Seçimi
359,az.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","Seçilibsə, tərcümə üçün soldakı fayl istifadə ediləcək"
360,az.app.language.en,English,English
361,az.app.language.ka,ქართული,ქართული
362,az.app.language.hy,Հայերեն,Հայերեն
363,az.app.language.ru,Русский,Русский
364,az.app.language.az,Azərbaycan,Azərbaycan
365,az.app.buttons.back,View All,Hamısına Bax
366,az.app.buttons.list,View All,Hamısına Bax
367,az.app.buttons.admin,Admin Section,İnzibati Bölmə
368,az.app.buttons.delete,Delete,Sil
369,az.app.buttons.edit,Edit,Redaktə Et
370,az.app.buttons.show,Show,Göstər
371,az.app.buttons.cancel,Cancel,İmtina
372,az.app.buttons.update,Update,Təzələ
373,az.app.buttons.save,Save,Yadda Saxla
374,az.app.buttons.save_and_next,Save & Next,Yadda Saxla və Növbəti
375,az.app.buttons.create,Create,Yarat
376,az.app.buttons.reset,Reset,Sıfırla
377,az.app.buttons.remove,Remove,Qaldır
378,az.app.buttons.confirm,Are you sure?,Əminsənmi?
379,az.app.buttons.new,New,Yeni
380,az.app.buttons.add_section,Add Section,Bölmə Əlavə Et
381,az.app.buttons.add_item,Add Item into Section,Materialı Bölməyə Əlavə Et
382,az.app.buttons.up,Move Selected Section/Item Up,Seçilən Bölməni/Materialı Yuxarı Tərpət
383,az.app.buttons.down,Move Selected Section/Item Down,Seçilən Bölməni/Materialı AşağıTərpət
384,az.app.buttons.delete_item,Delete Selected Section/Item,Seçilən Bölməni/Materialı Sil
385,az.app.buttons.preview,Preview,Öncəbaxış
386,az.app.buttons.preview_image,Preview Image,Şəkilə ilkin baxış
387,az.app.buttons.preview_video,Preview Video,Videoya ilkin baxış
388,az.app.buttons.preview_audio,Listen To Audio,Audionu dinlə
389,az.app.buttons.publish,Publish,Dərc Et
390,az.app.buttons.unpublish,Unpublish,Dərc Etdiyini geri al
391,az.app.buttons.clone,Copy this story into a new story,Bu hekayəni yeni hekayəyə köçür
392,az.app.buttons.export,Download the complete story,Tam hekayəni endir
393,az.app.buttons.scroll,Scroll,Sürüşdür
394,az.app.buttons.reviewer_key,Get URL to share this story before publishing,Hekayəni dərc etmədən öncə paylaşmaq üçün URL-ı al
395,az.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,"Sənin hekayən artıq dərc edilibdir, beləcə bu dərc edilməmiş URL-ı paylaşmağa ehtiyac yoxdur"
396,az.app.buttons.explore,Explore,Araşdır
397,az.app.buttons.processing,Processing...,Processing
398,az.app.common.app_name_not_trans,Chai Khana,Çayxana
399,az.app.common.app_name,Chai Khana,Çayxana
400,az.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,"Çayxana, sərhəd-aşan jurnalistika təlimləri və Cənubi Qafqaz regionunda fərqli mövzular üzrə multimedia materialları üçün onlayn nəşr xidməti təmin edən QHT-dir."
401,az.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,"Çayxana, sərhəd-aşan jurnalistika təlimləri və Cənubi Qafqaz regionunda fərqli mövzular üzrə multimedia materialları üçün onlayn nəşr xidməti təmin edən QHT-dir."
402,az.app.common.powered_by,Powered by,xxx tərəfindən dəstəklənir
403,az.app.common.powered_by_js,Jumpstart Georgia,Jumpstart Georgia
404,az.app.common.powered_by_end,,
405,az.app.common.embed_slogan,Build your story with Chai Khana,Hekayəni Çayxanayla hazırla
406,az.app.common.added_on,Added on: %{date},Əlavə edilib: %{date}
407,az.app.common.last_sign_in,Logged in last: %{date},Sonuncu dəfə daxil oldun: %{date}
408,az.app.common.admin,Admin,İnzibatçılıq
409,az.app.common.sign_out,Sign Out,Çıx
410,az.app.common.jumpstart,JumpStart Georgia,JumpStart Georgia
411,az.app.common.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - Biz məlumatı daha yaxşı paylaşırıq!
412,az.app.common.js_link_text,Built by,xxx tərəfindən hazırlanıb
413,az.app.common.search,Search for Story ...,...Hekayəni Axtar
414,az.app.common.build,Build Story,Hekayəni Hazırla
415,az.app.common.explore,Explore Stories,Hekayələri Axtar
416,az.app.common.about_story,About,Haqqında
417,az.app.common.likes,Likes,Bəyənənlər
418,az.app.common.comments,Comments,Şərhlər
419,az.app.common.publish_date,Publish Date,Dərc Edilmə Tarixi
420,az.app.common.follow,Follow,İzlə
421,az.app.common.following,Following,İzləyirəm
422,az.app.common.follow_link_title,Click to receive notifications whenever this author publishes new stories,Bu istifadəçi yeni hekayələr paylaşanda bildiriş almaq üçün bas 
423,az.app.common.unfollow_link_title,Click to stop receiving notifications whenever this author publishes new stories,Bu istifadəçi yeni hekayələr paylaşanda bildirişləri dayandırmaq üçün bas
424,az.app.common.email,Email,E-poçt
425,az.app.common.views,Views,Baxışlar
426,az.app.common.permalink,Permalink,Daimi Keçid
427,az.app.common.shortened_url,Short URL,Qısa URL
428,az.app.common.share_story,Share this story,Hekayəni paylaş
429,az.app.common.share_facebook,Share on Facebook,Facebook-da paylaş
430,az.app.common.share_twitter,Share on Twitter,Twitter-də paylaş
431,az.app.common.share,Share,Paylaş
432,az.app.common.staff_pick,Staff Pick,Redaksiya Heyətinin Seçimi
433,az.app.common.wide,wide,geniş
434,az.app.common.partial,Link to Story,Hekayəyə keçid
435,az.app.common.partial_text,"Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)","Hekayənizə Çayxananın ana səhifəsindəki hekayə keçidlərinə bənzər keçid əlavə et (şəkil, sərlövhə, müəllif və s.)"
436,az.app.common.full,Full Story,Tam Hekayə
437,az.app.common.full_text,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.,"Hekayəni tamamilə başqa sayta daxil et. Ən yaxşı xarici görünüşü yaratmaq üçün, tövsiyəmiz odur ki, eni mümkün olduqca böyüdəsiniz."
438,az.app.common.feed,Chai Khana Feeds,Çayxananın Xəbər Lenti
439,az.app.common.home,Home,Ana Səhifə (homepage)
440,az.app.common.required,Required,Tələb olunur
441,az.app.common.nothing_selected,Nothing Selected,Heç Nə Seçilməyib
442,az.app.common.clone_asset,Use the original file?,Orijinal faylı istifadə et?
443,az.app.common.embed,Embed Code,Daxil edilən kod
444,az.app.common.scroll_top,Scroll to the top,Yuxarıya sürüşdür
445,az.app.msgs.does_not_exist,You tried to access a page that does not exist.,Siz mövcud olmayan səhifəyə daxil olmaq istədiniz.
446,az.app.msgs.not_authorized,You are not authorized to view that page.,O sahifəyə daxil olmağa icazəniz yoxdur.
447,az.app.msgs.success_created,%{obj} was successfully created.,%{obj} uğurla yaradıldı.
448,az.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} uğurla yeniləndi.
449,az.app.msgs.success_publish,%{obj} was successfully published.,%{obj} uğurla dərc edildi.
450,az.app.msgs.success_unpublish,%{obj} was successfully unpublished.,%{obj}-nin dərc edilməsi uğurla geri alındı.
451,az.app.msgs.success_clone,%{obj} was successfully cloned to %{to}.,%{obj} uğurla %{to}-ya köçürüldü.
452,az.app.msgs.error_created,%{obj} wasn't created: %{err},%{obj} yaradılmadı: %{err}
